NAME	Protein	TimePoint
A2_1	A-Casiein	Day2
A2_10	A-Casiein	Day2
A2_2	A-Casiein	Day2
A2_4	A-Casiein	Day2
A2_6	A-Casiein	Day2
A2_7	A-Casiein	Day2
A2_8	A-Casiein	Day2
A2_9	A-Casiein	Day2
N2_1	B-Beef	Day2
N2_10	B-Beef	Day2
N2_2	B-Beef	Day2
N2_3	B-Beef	Day2
N2_4	B-Beef	Day2
N2_5	B-Beef	Day2
N2_6	B-Beef	Day2
N2_7	B-Beef	Day2
N2_8	B-Beef	Day2
N2_9	B-Beef	Day2
Z2_1	C-Pork	Day2
Z2_10	C-Pork	Day2
Z2_2	C-Pork	Day2
Z2_3	C-Pork	Day2
Z2_4	C-Pork	Day2
Z2_5	C-Pork	Day2
Z2_6	C-Pork	Day2
Z2_7	C-Pork	Day2
Z2_8	C-Pork	Day2
Z2_9	C-Pork	Day2
A7_2	A-Casiein	Day7
A7_3	A-Casiein	Day7
A7_4	A-Casiein	Day7
A7_5	A-Casiein	Day7
A7_6	A-Casiein	Day7
A7_8	A-Casiein	Day7
A7_9	A-Casiein	Day7
N7_10	B-Beef	Day7
N7_4	B-Beef	Day7
N7_5	B-Beef	Day7
N7_6	B-Beef	Day7
N7_8	B-Beef	Day7
N7_9	B-Beef	Day7
Z7_10	C-Pork	Day7
Z7_2	C-Pork	Day7
Z7_3	C-Pork	Day7
Z7_5	C-Pork	Day7
Z7_6	C-Pork	Day7
Z7_7	C-Pork	Day7
Z7_8	C-Pork	Day7
Z7_9	C-Pork	Day7
A14_10	A-Casiein	Day14
A14_2	A-Casiein	Day14
A14_4	A-Casiein	Day14
A14_5	A-Casiein	Day14
A14_7	A-Casiein	Day14
A14_8	A-Casiein	Day14
N14_1	B-Beef	Day14
N14_10	B-Beef	Day14
N14_2	B-Beef	Day14
N14_3	B-Beef	Day14
N14_4	B-Beef	Day14
N14_5	B-Beef	Day14
N14_6	B-Beef	Day14
N14_7	B-Beef	Day14
N14_8	B-Beef	Day14
N14_9	B-Beef	Day14
Z14_1	C-Pork	Day14
Z14_10	C-Pork	Day14
Z14_3	C-Pork	Day14
Z14_4	C-Pork	Day14
Z14_5	C-Pork	Day14
Z14_6	C-Pork	Day14
Z14_7	C-Pork	Day14
Z14_8	C-Pork	Day14
Z14_9	C-Pork	Day14
